mt,mvalue
0,10
0.05,10.1718
0.1,10.5435
0.15,10.0775
0.2,8.24758
0.25,7.03711
0.3,9.43431
0.35,13.8638
0.4,15.3887
0.45,15.4421
0.5,14.3096
0.55,14.9954
0.6,16.8742
0.65,18.9889
0.7,21.5142
0.75,21.8609
0.8,22.6283
0.85,26.491
0.9,27.39
0.95,28.113
1,30.5799
1.05,28.8833
1.1,31.8111
1.15,33.3194
1.2,35.1377
1.25,35.5861
1.3,36.6632
1.35,39.2382
1.4,40.8554
1.45,40.7626
1.5,42.4895
1.55,41.3811
1.6,41.9169
1.65,42.3648
1.7,43.0229
1.75,44.5712
1.8,46.1013
1.85,49.1707
1.9,53.2867
1.95,55.022
2,57.6705
2.05,59.5441
2.1,61.5481
2.15,60.762
2.2,63.9809
2.25,68.0794
2.3,68.7015
2.35,70.0767
2.4,73.1683
2.45,76.3166
2.5,80.5893
2.55,82.4535
2.6,82.706
2.65,84.6762
2.7,89.0765
2.75,92.6641
2.8,102.01
2.85,104.114
2.9,106.409
2.95,106.45
3,110.603
3.05,112.067
3.1,118.592
3.15,122.426
3.2,127.025
3.25,132.016
3.3,137.437
3.35,140.771
3.4,140.514
3.45,144.064
3.5,150.928
3.55,158.279
3.6,163.892
3.65,166.273
3.7,171.855
3.75,177.469
3.8,181.086
3.85,185.955
3.9,191.633
3.95,196.607
