part,parvalue
0,10
0.05,6.30435
0.1,-1.08311
0.15,0.614269
0.2,0.420058
0.25,-0.457208
0.3,1.50502
0.35,1.3009
0.4,1.80433
0.45,-6.46289
0.5,-2.82244
0.55,-2.17938
0.6,-1.9542
0.65,-0.936549
0.7,4.3684
0.75,0.586861
0.8,2.17735
0.85,2.10016
0.9,1.28998
0.95,3.29723
1,3.04839
1.05,0.90341
1.1,5.14441
1.15,1.6419
1.2,1.05216
1.25,2.85073
1.3,0.4286
1.35,4.83105
1.4,6.81215
1.45,6.81382
1.5,8.1667
1.55,7.31502
1.6,2.32663
1.65,3.26933
1.7,7.02674
1.75,7.48493
1.8,4.82122
1.85,1.1873
1.9,4.89395
1.95,10.3613
2,6.45048
2.05,5.40117
2.1,5.46389
2.15,7.69189
2.2,11.7572
2.25,11.4362
2.3,12.3714
2.35,15.0332
2.4,10.9234
2.45,13.2689
2.5,14.2792
2.55,16.8599
2.6,16.7381
2.65,17.8749
2.7,13.0981
2.75,17.2508
2.8,21.3123
2.85,22.8508
2.9,17.2659
2.95,25.022
3,29.3643
3.05,31.7497
3.1,30.8315
3.15,31.4186
3.2,33.3654
3.25,36.7317
3.3,38.4641
3.35,40.5578
3.4,38.7414
3.45,38.3773
3.5,42.4747
3.55,38.515
3.6,45.9714
3.65,49.4528
3.7,53.8191
3.75,53.7894
3.8,54.4334
3.85,54.3732
3.9,53.3619
3.95,64.146
